  STICS  ION FLUX NORMALIZED TO SOLAR WIND SPEED FROM SWE  
  Run time  14:13:30   30-SEP-99
  Flux Type:    1 (1=omni-directional, 2=parallel beam)
  Output Filename: dif961201.dat              
  Clock selected: Wall     Trigger mode is (Tn.!E)+(Tn.En)       
  FIFO mode is OFF         TGS  mode is OFF
  Telemetry mode is Science mode     
  FILTERING CHOICES:
          Voltage step selection =   0 to 31
          Event type selection   =       ALL
          Range selection        =     2 1 0
          Range checking is OFF
          Velocity range         =  250 to   1100
          Selected Telescopes =   1, 2, 3  (-1=not selected)
          Sectors     =   0 to 15
          Telescope checking is  ON
  Start Time   -1  0/ 0 00:00:00     End Time 3000  0/ 0 00:00:00
         Input Level 1 Filename: SMSDISK3:[WIND.L1DATA]WI_L1_SMS_19961201_V01.DAT;1                              
  Average Solar Wind Speed with sigma (km/s) =  298.7 +/-    9.5
  Range of valid speeds encountered (km/s) =  278.5 to  318.3
  Start postion in GSE cartesian coordinates(Re):    39.009   16.889    2.885
  Stop  postion in GSE cartesian coordinates(Re):    20.836   20.132    0.922
  For each ion, the average Energy-per-Charge (E/Qavg) in units of keV/e,
  the raw counts (RawCnt), the distribution function normalized to solar 
  wind speed in units of s^3/km^6 and the corresponding error (Error) are given.
   BIN#   Vi/Vsw    Hits   E/Qavg  RawCnt       H         Error      E/Qavg  RawCnt     He2         Error      E/Qavg  RawCnt     He1         Error      E/Qavg  RawCnt      C6         Error      E/Qavg  RawCnt      C5         Error      E/Qavg  RawCnt      C4         Error      E/Qavg  RawCnt      07         Error      E/Qavg  RawCnt      O6         Error      E/Qavg  RawCnt      O1         Error      E/Qavg  RawCnt     Ne8         Error      E/Qavg  RawCnt    Mg10         Error      E/Qavg  RawCnt     Mg8         Error      E/Qavg  RawCnt    Si12         Error      E/Qavg  RawCnt     Si9         Error      E/Qavg  RawCnt     Si8         Error      E/Qavg  RawCnt    Fe16         Error      E/Qavg  RawCnt    Fe14         Error      E/Qavg  RawCnt    Fe12         Error      E/Qavg  RawCnt    Fe11         Error      E/Qavg  RawCnt    Fe10         Error      E/Qavg  RawCnt     Fe9         Error      E/Qavg  RawCnt     Fe8         Error
    -15    0.434      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
    -14    0.460      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
    -13    0.487      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
    -12    0.516      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
    -11    0.546      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
    -10    0.579      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
     -9    0.613      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
     -8    0.649      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
     -7    0.688      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
     -6    0.729      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
     -5    0.772      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
     -4    0.818      0.     0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00    0.00      0.  0.00000E+00  0.00000E+00
